timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_5y,dormant_circulation_7y,dormant_circulation_8y,dormant_circulation_90d,dormant_circulation_usd_180d,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_intraday,mvrv_usd_intraday_10y,mvrv_usd_intraday_180d,mvrv_usd_intraday_1d,mvrv_usd_intraday_2y,mvrv_usd_intraday_30d,mvrv_usd_intraday_365d,mvrv_usd_intraday_3y,mvrv_usd_intraday_5y,mvrv_usd_intraday_60d,mvrv_usd_intraday_7d,mvrv_usd_intraday_90d,mvrv_usd_z_score,network_profit_loss,nvt,nvt_5min,nvt_transaction_volume,percent_of_total_supply_in_profit,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-01 00:00:00,3578.0,69513.0,977710.0,264543.0,6527913299.604676,6527913299.604677,34666334827.80179,34666334827.80179,13592391013.260878,320654391.3048065,29720278625.739544,4232767781.2897553,20654504028.839294,33592525979.200737,34027319208.487186,6765534585.841415,1428173081.5735116,8498084030.166027,5352536009.51156,69724.0,8.0,58.0,2.0,170.0,18742096.05562907,2110372.3024509996,11093927.843240013,1471119.668764,620489.4400710001,0.0,0.0,27013397.16704304,7380433.945257178,370.08145733221,71.432398121033,259.02779739281,146.748230508962,325.530311348317,340.070416052768,35.916768285508,432.463716222916,-146.619859323248,392.891920697737,143.982417677915,423.647726043349,425.348174428971,299.729749616192,-0.178352557031,0.544059413112,0.544059413112,1.152457722887,0.539909930135,0.511206764263,1.080074641202,0.879810783516,0.530237668677,0.536308904059,1.058163340547,0.918678090569,1.091510276748,0.550994462136,0.550994462136,1.154269802245,0.999848333459,0.517341070852,1.13311238062,0.887946609158,0.536985877934,0.543146215489,1.091156338755,1.054091568784,1.122565986457,-0.789852353582,-7076039.836559858,108.111211846305,59.695915378406,6.882592782255,43.568868289746,25053402826.007538,25053402826.007538,4637415182.590643,233518342.49192965,22859220008.247482,1540904757.2627373,9230614479.52572,24910199580.75081,24946972625.558094,2513937808.581236,611255256.3661981,3061246593.0482016,120.637412071228,120.637412071228,11.422889232635,132.060301303864,-0.529679404354,-0.529679404354,2.383159317754,2.383159317754,-0.863446795172,-0.863446795172,-0.529679404354,3.418090267362,2.320702527613,325.0,311.0,34666334827.80179,15103729762.007185,1010412369.4496741,1649651178.4568145,1443294167.1864254,0.874908699509,,1310.0,156.0,156.0,15.707919277899,433.0,38.0,381297067.53054166,196129573.4108958
2023-04-01 04:00:00,3535.0,73695.0,978346.0,268133.0,2640366550.8095813,2640366550.8095813,,,,,,,,,,,,,,,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542999862104,0.542999862104,1.137622340302,0.984722264708,0.509944960898,1.11621576378,0.875308258066,0.529206314771,0.535265158529,1.075112544567,1.038312373283,1.105926212312,,-672267.4113639202,,60.089100787564,,,,,,,,,,,,,,,116.687800347805,116.687800347805,8.095422685146,124.783223032951,0.048528955367,0.048528955367,,,-0.642071664828,-0.642071664828,0.048528955367,3.039759898336,2.208288546416,321.0,314.0,,,855550794.9790431,,,,,,193.0,194.0,,360.0,21.0,325062994.4492804,155637078.87785804
2023-04-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849339.0,,,,,,,,
2023-04-01 08:00:00,3378.0,77325.0,979134.0,272116.0,865962066.5919801,865962066.5919801,,,,,,,,,,,,,,,12.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539554078483,0.539554078483,1.130366689889,0.977399782122,0.506753286234,1.108852614124,0.87001609121,0.525848086686,0.531868184997,1.068192076569,1.031481716962,1.098671010407,,-91012.37378050735,,63.987305009719,,,,,,,,,,,,,,,156.377459287643,156.377459287643,16.499048531055,172.876507818699,0.30969743739,0.30969743739,,,-0.033459027956,-0.033459027956,0.30969743739,3.666119836688,2.693230446725,426.0,453.0,,,814166396.1305422,,,,,,237.0,237.0,,326.0,24.0,304558150.2923152,153005743.1545436
2023-04-01 12:00:00,4794.0,78829.0,979116.0,275911.0,1332714087.555363,1332714087.5553632,,,,,,,,,,,,,,,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542901317562,0.542901317562,1.1373310054,0.984270732678,0.509911881865,1.115244132966,0.875601389834,0.529108906471,0.535167356201,1.074874236281,1.036867096767,1.105022416549,,-1347574.1941284623,,66.740379905342,,,,,,,,,,,,,,,164.103049457073,164.103049457073,21.535494804382,185.638544261456,0.052162227442,0.052162227442,,,0.12499756215,0.12499756215,0.052162227442,3.344326867063,2.432133225063,474.0,489.0,,,804551391.80541,,,,849328.0,,258.0,258.0,,322.0,17.0,302832859.8435695,149373076.51828927
2023-04-01 16:00:00,3446.0,79358.0,979084.0,279265.0,834127926.8487729,834127926.8487729,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546030845888,0.546030845888,1.143801266565,0.99744802592,0.512871932222,1.121321237759,0.880902835288,0.532158896174,0.538252033844,1.081102609056,1.042194230613,1.111033488642,,-173024.67145333372,,93.422125967915,,,,,,,,,,,,,,,118.68694704771,118.68694704771,19.064230263233,137.751177310944,-0.196689152714,-0.196689152714,,,-0.507819705622,-0.507819705622,-0.196689152714,2.520401991237,2.035529511274,332.0,366.0,,,799916125.638088,,,,,,231.0,231.0,,321.0,16.0,300781186.22768754,141234250.76073375
2023-04-01 20:00:00,2923.0,69724.0,976910.0,279832.0,458212173.30075985,458212173.30075985,,,,,,,,,,,,,,,22.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544184575811,0.544184575811,1.139874007605,0.996902872733,0.511147452593,1.117277601621,0.878181964453,0.530359651637,0.536432042335,1.077616205827,1.037960969361,1.106919307463,,-109621.32217267712,,108.111211846378,,,,,,,,,,,,,,,129.781828463078,129.781828463078,10.773906111717,140.555734574795,0.23721985554,0.23721985554,,,-0.205423377552,-0.205423377552,0.23721985554,2.68475234202,2.512601598173,298.0,363.0,,,752216216.716873,,,,,,243.0,243.0,,294.0,16.0,288337628.8654143,142052279.22457027
2023-04-02 00:00:00,2348.0,63608.0,974820.0,280576.0,1203527916.0447063,1203527916.0447063,34667175161.30058,34667175161.30058,13590751762.08595,219155966.481197,29707124895.52789,4233694293.6473446,20583252399.180378,33592116265.03229,34027876153.71122,6736255519.316051,1404957469.9539092,8174910449.291732,5221483407.681672,48056.0,35.0,113.0,5.0,166.0,12222427.691915024,1498810.9406760004,4499009.848842004,84372.30646800001,11641.876449,0.0,0.0,21519050.567356974,4695781.698622396,370.861780521896,72.072122653506,259.560446003801,146.676796859618,326.277133903961,340.83498814268,34.425546564773,433.354414773472,-147.66358541611,393.502889840151,142.385749933364,424.535322054839,426.234671573129,306.049872473952,-0.168198390134,0.528348025227,0.528348025227,1.119296101707,0.437930640095,0.496610122132,1.048119469127,0.859719909684,0.514907972105,0.520818571308,1.027918299818,0.889306997162,1.046908590477,0.535256594236,0.535256594236,1.121292681342,0.994146521913,0.502777970088,1.099002568781,0.86400784438,0.521652281349,0.527631138222,1.060212313228,1.021510650827,1.088548198886,-0.812719326989,-978617.3289219345,158.184947998096,144.546189958554,7.158563952966,40.056533436465,25048445152.630383,25048445152.630383,4635332533.536418,191042667.43135494,22836390528.684315,1542023930.8246167,9139857437.073128,24905206981.747063,24941972046.111984,2501741086.9756703,603106313.550128,2980963421.9092374,111.207453012466,111.207453012466,12.624035418034,123.8314884305,-0.19251072418,-0.19251072418,1.601775987892,1.601775987892,-0.632017600634,-0.632017600634,-0.19251072418,3.048986393837,2.250775584519,317.0,327.0,34667175161.30058,13886468609.96415,858225687.4666339,1646665548.3747008,1397579749.4643533,0.848733217771,849334.0,1164.0,201.0,201.0,22.097301782512,326.0,28.0,321379343.9549842,169309380.0728297
2023-04-02 04:00:00,2439.0,59362.0,973469.0,280747.0,1355542361.898231,1355542361.8982308,,,,,,,,,,,,,,,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536503128993,0.536503128993,1.123796648505,0.997925815748,0.503989263396,1.101246493,0.869524067702,0.522867036032,0.528859150453,1.062686243066,1.023150452903,1.090677856909,,-1515834.7491638793,,153.534538409397,,,,,,,,,,,,,,,113.999437868595,113.999437868595,8.070455372334,122.069893240929,-0.034757235902,-0.034757235902,,,-0.728336582218,-0.728336582218,-0.034757235902,2.796866759719,2.075801031698,310.0,315.0,,,800419007.694955,,,,,,167.0,167.0,,311.0,18.0,303927632.8730417,150463704.6893494
2023-04-02 08:00:00,2572.0,55054.0,972746.0,281039.0,1103654114.316482,1103654114.316482,,,,,,,,,,,,,,,22.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531380679778,0.531380679778,1.113092912119,0.991320751709,0.499222915124,1.090582510352,0.861513693748,0.517874947614,0.523809646897,1.052584112122,1.012986769945,1.07974446718,,-331129.92341827153,,156.829295436517,,,,,,,,,,,,,,,90.772728323936,90.772728323936,11.238709926605,102.011438250542,0.075041135188,0.075041135188,,,-0.565086253879,-0.565086253879,0.075041135188,2.440007989172,2.019870217149,295.0,340.0,,,781849319.529277,,,,,,237.0,237.0,,313.0,19.0,293869558.4013063,143792487.78250512
