timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_90d,dormant_circulation_usd_180d,exchange_balance,exchange_inflow,exchange_inflow_usd,exchange_outflow,exchange_outflow_usd,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_z_score,network_growth,network_profit_loss,nvt,nvt_transaction_volume,percent_of_total_supply_in_profit,percent_of_total_supply_on_exchanges,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,supply_on_exchanges,supply_outside_exchanges,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-01 00:00:00,0.0,21.0,256.0,74.0,384253.8,384253.8,2800716.434041366,2800716.434041366,25528432.413919985,810058.1362271113,2800716.434041366,22242285.049520448,2800716.434041366,2800716.434041366,2800716.434041366,58711668.83251677,3522632.554914055,83442431.44518617,904274.0891581293,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3478.592317903032,-192.347464327158,-3478.592317902865,-3478.592317902865,-3478.592317902865,-3478.592317902865,49.509558247173,79.928029813724,79.426789635865,79.426789635865,79.426789635865,79.426789635865,79.426789635865,46.926183036216,-0.789491597884,-0.0,-0.0,0.249780006742,0.991999361167,-0.0,0.937840238616,-0.0,-0.0,-0.0,0.789491597884,0.99250203801,0.871509561783,5.082130163423,10.0,319.741522819538,3.457426459644,1.132811092252,-3350.137142039442,14071.77216823302,5701000.162004809,5701000.162004809,5701000.162004809,28708.82428530982,5701000.162004809,833798.5795909154,5701000.162004809,5701000.162004809,5701000.162004809,2614493.2433817307,124780.45024644358,3366087.533928001,0.0,0.0,0.0,0.0,0.0,0.0,-0.223322529509,-0.223322529509,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,394110435.67656124,-391309719.24251986,2800716.434041366,-93827841.5000224,192528.0,1029254.6619866301,1332398.81120668,1.294527836906,25.0,,0.0,0.0,0.0,3.052076805472,0.0,0.0,0.0,0.0
2023-04-01 04:00:00,2.0,21.0,257.0,75.0,29829.892211309027,29829.892211309027,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,10916.148610999999,10916.148610999999,385.498934882687,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.474109006681,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,10916.148610999999,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46096.0,,,,,,,,
2023-04-01 08:00:00,6.0,28.0,262.0,80.0,10645708.876590408,10645708.876590408,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,124582.97112780009,618806.639176,21767.18184259484,494223.6680481999,17538.9656982054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2873.535908731531,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,2214790.9664112,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-01 12:00:00,0.0,26.0,259.0,79.0,23582.210325367312,23582.210325367312,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,-5242.91846048,0.0,0.0,5242.91846048,186.329768034934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.897285025766,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,5242.91846048,,,,,46100.0,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-01 16:00:00,2.0,23.0,262.0,79.0,51493.8840234445,51493.884023444494,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.591661465451,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,41558.37517963,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-01 20:00:00,0.0,23.0,262.0,79.0,2592.154411111111,2592.154411111111,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,1000.0,1000.0,35.354286638727,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052052479318,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,7323.24,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-02 00:00:00,0.0,22.0,262.0,79.0,0.0,0.0,2800716.4340413646,2800716.4340413646,25673032.09568286,393402.96946287435,2800716.4340413646,22357057.420983322,2800716.4340413646,2800716.4340413646,2800716.4340413646,58799880.02127964,3695907.950647888,83526683.48694904,908828.6901183398,21.0,0.0,0.0,0.0,0.0,144599.68176287413,0.0,0.0,0.0,153100.1887628741,5118.847624943392,0.0,0.0,0.0,0.0,0.0,-3489.667749386135,-190.383535214623,-3489.667749385972,-3489.667749385972,-3489.667749385972,-3489.667749385972,50.363680144386,80.837650135785,80.336191981041,80.336191981041,80.336191981041,80.336191981041,80.336191981041,47.804251532612,-0.863315598887,-0.0,-0.0,0.274306815312,1.074665154927,-0.0,1.025360225254,-0.0,-0.0,-0.0,0.863315598887,1.082739508631,0.952579945625,5.058200151295,10.0,0.0,7.119205119029,4.256137267823,-3354.186929647103,14068.896421574518,5706532.676532058,5706532.676532058,5706532.676532058,14068.575053258988,5706532.676532058,837961.0284394373,5706532.676532058,5706532.676532058,5706532.676532058,2617534.999582741,131184.58555005043,3369841.303212564,0.0,0.0,0.0,0.0,0.0,0.0,-0.223322529509,-0.223322529509,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,394029894.16729504,-391229177.73325366,2800716.4340413646,-93941264.56709386,0.0,209479.52270479273,295462.1367628727,1.410458325224,17.0,46108.0,1.0,0.0,0.0,1.67269161473,0.0,0.0,0.0,0.0
2023-04-02 04:00:00,0.0,21.0,260.0,79.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-02 08:00:00,2.0,14.0,260.0,82.0,144694.42480993757,144694.42480993757,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,5097.82427096,5097.82427096,181.038276372808,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.63557083873,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.09602765995,-0.09602765995,0.0,0.0,0.0,0.0,0.0,,,,,7351.82427096,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
