timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_5y,dormant_circulation_90d,dormant_circulation_usd_180d,exchange_balance,exchange_inflow,exchange_inflow_usd,exchange_open_interest,exchange_outflow,exchange_outflow_usd,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_z_score,network_growth,network_profit_loss,nvt,nvt_transaction_volume,percent_of_total_supply_in_profit,percent_of_total_supply_on_exchanges,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,supply_on_exchanges,supply_outside_exchanges,total_funding_rates_aggregated_per_asset,total_open_interest,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-01 00:00:00,76.0,1111.0,26412.0,6594.0,14975870.865514435,14975870.865514437,2117243532.799269,2117243532.799269,500097010.0934003,8524103.429188749,1322566094.8705575,230994250.54198918,572917173.0255754,1777970791.288789,2025911379.9951913,294134064.4743579,50033898.08822638,390835670.8697189,214304973.1206222,658.0,0.0,0.0,0.0,4.0,64461.93393991,0.0,62191.20493991,0.0,0.0,294381.9036502,27623.66649165864,-2637477.8374539297,501691.75513658,217515.6043687321,27222480.016634338,3139169.59259051,1361948.0353304364,694.534400235047,59.378212551837,396.080718134981,82.89399480827,525.015651177779,640.771793911954,33.406901682258,671.362509086579,29.454378400853,376.409888589722,35.339360647238,415.902790179192,466.060223481589,23.56241388313,0.579579449958,1.897565534018,1.897565534018,1.357178921312,0.974643521681,1.563983082391,0.921170022468,1.514662627704,1.915360132153,2.09317647183,0.935083177746,1.002383045493,1.110000658705,0.54683454141,266.0,101720.51926982368,248.383134999193,133.040446875048,86.581715351785,35.091103568895,469086986.5313876,469086986.5313876,154916082.33934155,3676903.7682958115,355520532.25748205,105424300.35937683,159021294.26465002,390259543.3803272,406905868.0960617,132243530.0680281,20985048.668533772,148030194.94252783,0.757244229317,0.757244229317,0.0,0.757244229317,0.0,0.0,0.173318281336,0.173318281336,-0.129086512887,-0.129086512887,0.0,0.021482800471,0.028192260011,2.0,2.0,742964120.9003292,1374279411.8989396,,36862972.870907985,2117243532.799269,1833145768.8723361,4988425.24939254,5953824.951986691,9207151.0747377,1.546426230026,0.0,,4.0,0.0,0.0,1.86697459933,3.0,0.0,1062058.8787828628,0.0
2023-04-01 04:00:00,99.0,1091.0,26390.0,6612.0,8430507.968995178,8430507.968995178,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,-270014.9745846699,1655971.90008603,727470.1443713785,27354930.54709544,1925986.8746707,853011.686481034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31177.16589288618,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.155242456207,-0.155242456207,0.0,0.170350309329,0.016666666667,15.0,1.0,,,,37492732.4309671,,,4325773.03480845,,,,,,,1.0,1.0,,0.0,0.0,0.0,0.0
2023-04-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
2023-04-01 08:00:00,96.0,1070.0,26340.0,6590.0,9238229.226385988,9238229.226385988,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,711624.2858609199,907414.14369809,390309.0327219822,26973670.987849586,195789.85783717,84172.1525544754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5835.672792238161,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.099532048119,-0.099532048119,0.0,0.0,0.0,0.0,0.0,,,,36869162.8713678,,,2769012.1955636702,,,,,,,0.0,0.0,,1.0,0.0,463005.3314348345,0.0
2023-04-01 12:00:00,76.0,1036.0,26296.0,6571.0,23942009.704826806,23942009.704826806,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,591116.46027941,734977.44017087,312267.9092520464,26600089.08489024,143860.97989145998,61012.572605456146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14610.15388780813,,,,,,,,,,,,,,,,,0.872869729996,0.872869729996,0.0,0.872869729996,0.082690484957,0.082690484957,,,0.952722094073,0.952722094073,0.082690484957,0.0,0.007891414141,0.0,1.0,,,,36330986.759519994,,,1662511.56357004,,,,,0.0,,1.0,1.0,,0.0,0.0,0.0,0.0
2023-04-01 16:00:00,90.0,1038.0,26250.0,6546.0,43357462.28951772,43357462.28951772,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,147857.33062475998,321258.42077091,135441.0098448909,27014357.909492582,173401.09014615,73192.90644634035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61966.096071952416,,,,,,,,,,,,,,,,,-0.759638547897,-0.759638547897,0.759638547897,0.0,-0.082690484957,-0.082690484957,,,-0.130331945893,-0.130331945893,-0.082690484957,0.0,0.034720536077,0.0,3.0,,,,36479201.93286845,,,1056151.80595605,,,,,,,1.0,1.0,,0.0,0.0,0.0,0.0
2023-04-01 20:00:00,81.0,1011.0,26195.0,6495.0,8524956.26793454,8524956.26793454,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,-67088.95298911,182588.75404025,76898.7794631179,26959966.897925958,249677.70702936,105148.73918873066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3160.556640576369,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.130331945893,-0.130331945893,0.0,0.007014590348,0.017217630854,1.0,1.0,,,,36609555.391214,,,1112410.73506414,,,,,,,1.0,1.0,,1.0,0.0,126517.99221505426,0.0
2023-04-02 00:00:00,75.0,1021.0,26116.0,6483.0,13532872.750806028,13532872.75080603,2117235651.9567823,2117235651.9567823,500217481.42011774,8921134.49576761,1320916603.7324936,229524056.16119027,572885903.2584338,1777259827.6751022,2025472741.7784734,293520896.16205657,48618150.60528351,390429500.2686382,206892848.54325923,602.0,0.0,0.0,0.0,4.0,201633.12989851995,0.0,177445.25230474997,0.0,0.0,256155.19356009996,83396.63077540747,594934.9336605001,713466.89644408,298153.07730048854,26622935.88742995,118531.96278358,49520.4667810638,695.453878780787,60.21213366363,396.535591418167,83.65176578255,525.693648027973,641.435392509171,34.148486326343,672.510523666657,30.318062525748,376.834680807937,36.14537643029,416.948738628358,466.971189663418,24.406240189088,0.567775565361,1.854875422375,1.854875422375,1.327656510019,1.001873646294,1.529783104776,0.902397808608,1.481528180769,1.871714131007,2.046025122397,0.913752615408,0.989532921767,1.08468931696,0.341977830601,233.0,6763.674412566051,237.328072226828,163.526951617791,83.821022696666,35.071570474388,468907955.44538754,468907955.44538754,154776950.32212874,3657971.2120312266,354714292.9124229,104487256.82168709,158851517.65664637,390071800.1217574,406676044.0512063,131960374.98210293,20183725.73400096,147866710.4451144,0.876420676708,0.876420676708,0.0,0.876420676708,0.120034574937,0.120034574937,0.538386848666,0.538386848666,1.299246691579,1.299246691579,0.120034574937,0.044240669241,0.030360563766,5.0,2.0,742547793.7848953,1374687858.171887,,36262642.910481,2117235651.9567823,1774688576.3686023,1202619.97578569,9156850.53855548,2966794.2493803697,0.323997234299,0.0,0.0,7.0,2.0,2.0,1.451308606189,0.0,0.0,0.0,0.0
2023-04-02 04:00:00,86.0,978.0,26054.0,6482.0,7240089.806239895,7240089.806239894,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,-164080.20986895,133593.49545185,56276.19073848558,27480367.757731333,297673.7053208,125411.46117689769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4216.362429516486,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.120034574937,-0.120034574937,,,-0.175516707626,-0.175516707626,-0.120034574937,0.004125412541,0.023810301289,1.0,2.0,,,,37294176.9721191,,,786348.3038650601,,,,,,,1.0,1.0,,0.0,0.0,0.0,0.0
2023-04-02 08:00:00,73.0,987.0,25989.0,6482.0,50809275.092040405,50809275.092040405,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,158620.00796634,272790.64555652,114212.21214439081,27159563.235750414,114170.63759018,47902.75553566195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16064.166390095492,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.121392834349,-0.121392834349,0.0,0.017935883149,0.026205450734,2.0,2.0,,,,37064133.5890496,,,1197905.95282603,,,,,,,0.0,0.0,,1.0,0.0,161815.10873083764,0.0
