timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_5y,dormant_circulation_7y,dormant_circulation_8y,dormant_circulation_90d,dormant_circulation_usd_180d,exchange_balance,exchange_inflow,exchange_inflow_usd,exchange_open_interest,exchange_outflow,exchange_outflow_usd,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_z_score,network_growth,network_profit_loss,nvt,nvt_transaction_volume,percent_of_total_supply_in_profit,percent_of_total_supply_on_exchanges,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,supply_on_exchanges,supply_outside_exchanges,total_funding_rates_aggregated_per_asset,total_open_interest,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-02 12:00:00,5.0,94.0,1296.0,455.0,63132068.02801989,63132068.0280199,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1266807.7939137346,1781499.5105585556,50646.385139230675,,514691.7166448211,14460.027279383072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2794.517161192665,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,,,3566445.59406926,,,,,150816.0,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-02 16:00:00,4.0,80.0,1301.0,457.0,35633623.58281656,35633623.58281656,,,,,,,,,,,,,,,16.0,,3.0,,,,,,,,,,,63691.74528743001,100582.32840953,2820.659162015927,,36890.5831221,1037.012530749716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.144544045645,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,,,153534.00545952,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-02 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150809.0,,,,,,,,
2023-04-02 20:00:00,0.0,77.0,1308.0,459.0,64665836.198310934,64665836.198310934,,,,,,,,,,,,,,,7.0,,3.0,,,,,,,,,,,-65335.09273136,0.0,0.0,,65335.09273136,1835.81566937059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.015189074673,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,,,193711.38183136,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-03 00:00:00,19.0,87.0,1319.0,462.0,98974234.33978626,98974234.33978628,6828737953.143196,6828737953.143196,2451763271.589903,42103086.09179137,3074795834.373783,320985114.5412507,2560494204.456787,3267715178.6675406,3471389652.335469,2183983130.361466,179945806.77623916,2284019324.8130965,67730148.50051153,90.0,5.0,417.0,3.0,72.0,207599.86883680001,187056.76990876,188160.87989743002,79137.42899999999,0.0,0.0,0.0,322162.20068482996,5734.962305673642,6412360.746572977,7041373.0965729775,194027.6511846669,,629012.35,17491.72721887709,1169.389746139615,46.335036171316,135.608626631256,55.570315857491,183.317958044288,264.129089806538,39.114936257221,635.732198291109,44.750825087842,247.426841906876,56.500373886956,284.168339075917,424.702451227688,38.379925759469,-0.002318191917,1.110618089896,1.110618089896,0.936437708862,0.991283423181,0.679554787056,1.018785051958,0.928309585014,0.680034368431,0.652449868806,0.930627776931,0.941773832689,0.926500561554,-0.37817636476,27.0,-30573.33666174798,162.190912520177,84.237175606511,51.593143141173,10.804960502843,169909825.0780819,169909825.07808194,72350646.09844837,1173704.7415428292,125035857.09221081,8706530.008489579,76220840.78827313,132787173.34633555,147027647.14190978,64850905.000716895,5280048.164406002,68123485.43273987,0.0,0.0,0.0,0.0,0.0,0.0,-0.106442549703,-0.106442549703,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,737842438.679778,6090895514.463418,,,6828737953.143196,3523160546.9007945,15019182.018043196,45338980.59561247,4366726.43646112,0.096312849982,80.0,,0.0,0.0,0.0,1.925407771004,0.0,0.0,0.0,0.0
2023-04-03 04:00:00,2.0,88.0,1323.0,462.0,11199759.28442675,11199759.284426749,,,,,,,,,,,,,,,57.0,,12.0,,,,,,,,,,,412170.7264150244,1002614.9264150243,27399.284316444995,,590444.2,16108.064942113382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5307.273811951466,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,,,2517762.864192591,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-03 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150789.0,,,,,,,,
2023-04-03 08:00:00,4.0,84.0,1322.0,459.0,74431705.82337673,74431705.82337673,,,,,,,,,,,,,,,121.0,,25.0,,,,,,,,,,,227712.4039702,228471.337851,6369.191969872704,,758.9338808,21.073077483511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-116760.40878080933,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,,,58057701.60958281,,,,,,,0.0,0.0,,5.0,0.0,1612050.1137999985,0.0
2023-04-03 12:00:00,3.0,85.0,1324.0,457.0,660497.6601618187,660497.6601618187,,,,,,,,,,,,,,,126.0,,32.0,,,,,,,,,,,955780.3722836114,962411.6100563115,26676.75710041683,,6631.2377727,184.537435293054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93.927627434223,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,,,1749531.9855422315,,,,,150767.0,,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-03 16:00:00,5.0,83.0,1327.0,458.0,47182917.691846736,47182917.691846736,,,,,,,,,,,,,,,84.0,,19.0,,,,,,,,,,,442150.5010587548,1216448.7171929046,33740.35310647378,,774298.2161341499,21470.756541177983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.557946844485,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.128036879933,-0.128036879933,0.0,0.0,0.0,0.0,0.0,,,,,,,3022462.9643421243,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
