timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_5y,dormant_circulation_7y,dormant_circulation_90d,dormant_circulation_usd_180d,exchange_balance,exchange_inflow,exchange_outflow,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_z_score,network_growth,network_profit_loss,nvt,nvt_5min,nvt_transaction_volume,percent_of_total_supply_in_profit,percent_of_total_supply_on_exchanges,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,supply_on_exchanges,supply_outside_exchanges,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-01 00:00:00,26.0,495.0,8006.0,2385.0,3318991.0877841227,3318991.087784122,2138161901.5199356,2138161901.5199356,1473475072.5793562,11973597.619135763,1854989356.1055768,184978376.9763086,1588534271.318151,1883180484.1396713,2138161901.5199356,1039235902.8203797,77175399.79872084,1280740906.1402926,692674381.8422382,352.0,0.0,0.0,0.0,8.0,65807.75307213313,0.0,8711.306485415873,0.0,0.0,0.0,127329.73372120033,30935.945594160366,52499.395974930056,961724.7803084865,909225.3843335564,286.548874660333,58.028658335967,137.951936996516,73.632663104305,148.11378962707,286.547848283953,49.08686285403,265.959771566249,50.821092534061,259.650884599308,67.52908730942,262.660096498712,265.249265853054,45.850282892308,0.155978901348,0.872399626033,0.872399626033,1.141793212443,1.004903501507,0.763392912361,1.060000013629,1.145992397627,0.770301477089,0.872399626033,0.99001349628,1.087562708439,1.068037866245,0.147617548596,121.0,46534.87535911416,178.573054609987,169.982857021998,119.425467246782,73.296595319128,34.837964827881,1151658715.5375047,1151658715.5375042,606392775.6373115,5598851.932416076,1141805106.519539,81999985.61367434,651348676.0035973,1148761565.0805626,1151658715.5375042,493255242.0326919,33344427.311961003,563473262.258933,4.879691898823,4.879691898823,1.806948065758,6.686639964581,-0.026988237805,-0.026988237805,1.866293497272,1.866293497272,-0.850914080271,-0.850914080271,-0.026988237805,0.09439484403,0.128821527077,9.0,19.0,744892091.2146735,1393269810.305262,2138161901.5199356,1567199876.2248476,4209782.058227834,7484725.746023174,9703574.235935688,1.296450206087,350.0,485708.0,128.0,10.0,10.0,1.49526779109,3.0,0.0,1140201.60478389,0.0
2023-04-01 04:00:00,33.0,498.0,8017.0,2401.0,2696138.9391923067,2696138.9391923067,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,228370.022877112,516566.28710184334,288196.26422473136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6278.2926608814,,186.240924136439,,,,,,,,,,,,,,,,9.790239036083,9.790239036083,0.944517731667,10.73475676775,0.176196320752,0.176196320752,,,-0.246527626691,-0.246527626691,0.176196320752,0.172566027967,0.235491914266,17.0,32.0,,,,,1286810.7833665928,,,,,,,23.0,23.0,,1.0,0.0,107943.4931009724,0.0
2023-04-01 08:00:00,28.0,471.0,8004.0,2397.0,1793109.3818999834,1793109.3818999834,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,74256.61260078283,592603.9109116453,518347.29831086245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162.060652684098,,183.404939347051,,,,,,,,,,,,,,,,17.227468729019,17.227468729019,0.865318119526,18.092786848545,0.166727292987,0.166727292987,,,0.350266232403,0.350266232403,0.166727292987,0.168519141289,0.21921966947,19.0,37.0,,,,,1601265.4088326036,,,,,,,25.0,25.0,,0.0,0.0,0.0,0.0
2023-04-01 12:00:00,38.0,418.0,7997.0,2378.0,16937642.988056116,16937642.988056116,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,263857.31747901207,471227.719013046,207370.40153403394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6771.538781165971,,185.797421980549,,,,,,,,,,,,,,,,14.387362360954,14.387362360954,0.0,14.387362360954,0.05469056446,0.05469056446,,,0.211345571571,0.211345571571,0.05469056446,0.179605259613,0.227731281934,24.0,47.0,,,,,1416699.1717686106,,,,,485785.0,,23.0,23.0,,1.0,0.0,115980.2547147969,0.0
2023-04-01 16:00:00,32.0,376.0,7992.0,2379.0,52430170.998957,52430170.998957,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,-472559.5877449965,369848.7230043123,842408.3107493089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14354.879602806222,,153.423583790798,,,,,,,,,,,,,,,,17.80395168066,17.80395168066,0.73730635643,18.54125803709,-0.002017873721,-0.002017873721,,,0.730612942313,0.730612942313,-0.002017873721,0.179231380277,0.336866693894,23.0,60.0,,,,,7953874.002199267,,,,,,,31.0,31.0,,2.0,1.0,3312060.576216178,3030482.361718752
2023-04-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485856.0,,,,,,,,
2023-04-01 20:00:00,44.0,352.0,8014.0,2382.0,19631873.644044306,19631873.644044302,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,-153326.5422712033,377455.9694778798,530782.5117490831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6073.044118736741,,178.573054610042,,,,,,,,,,,,,,,,10.734900176525,10.734900176525,0.789714038372,11.524614214897,-0.193181567374,-0.193181567374,,,-0.435961991662,-0.435961991662,-0.193181567374,0.10598702815,0.226878357844,11.0,32.0,,,,,1435303.438970756,,,,,,,16.0,16.0,,0.0,0.0,0.0,0.0
2023-04-02 00:00:00,18.0,347.0,8005.0,2369.0,11924485.250279125,11924485.250279125,2138161901.5199356,2138161901.5199356,1473447443.7330008,2466242.9877175204,1854826719.6668832,180970982.91884363,1588511599.665039,1883181382.2442713,2138161901.5199356,1038879583.1040982,74822676.03691992,1210873979.9485419,679318002.4017845,365.0,0.0,0.0,0.0,6.0,268488.9754100642,9849.363380803348,222906.3417023535,1000.0,0.0,0.0,284468.60751002026,123784.11949351955,66268.9365059084,206213.96511942477,139945.02861351636,287.466026166621,58.977676142174,138.805335473357,74.554056231096,149.020450205946,287.464999790245,47.72353406583,266.908819971195,51.780383462508,260.569503752191,68.309516128986,263.609143984733,266.198332289245,45.70362249434,0.150438372673,0.839383398332,0.839383398332,1.098512755931,0.987297406102,0.734484906397,1.019040848395,1.103170253434,0.741149464201,0.839383398332,0.95273188076,1.046859681051,0.996948317706,0.123919941302,139.0,-960.907055543383,866.971305004613,209.32747431243,342.939342160029,66.92839355287,34.835860198933,1151694840.3944542,1151694840.3944538,606438486.1762271,1129392.96205479,1141767502.111713,80292422.59781851,651036079.7333915,1148797713.721974,1151694840.3944538,493005452.92451566,32314837.22883603,549140546.5996511,11.880290687084,11.880290687084,0.0,11.880290687084,0.009783979357,0.009783979357,1.825461250077,1.825461250077,-0.114176457629,-0.114176457629,0.009783979357,0.155652166375,0.284249779935,16.0,40.0,744847090.8403255,1393314810.6796103,2138161901.5199356,1431037412.2467844,863987.2781405966,3757458.430045893,2058630.185201853,0.547878366063,341.0,485877.0,141.0,25.0,25.0,2.528060208969,0.0,0.0,0.0,0.0
2023-04-02 04:00:00,22.0,320.0,7993.0,2356.0,69604637.2411278,69604637.2411278,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,-97845.67069450773,293206.49926523137,391052.16995973914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27679.739778558458,,214.42139813975,,,,,,,,,,,,,,,,8.92790299654,8.92790299654,0.0,8.92790299654,-0.100951773452,-0.100951773452,,,-0.353865483575,-0.353865483575,-0.100951773452,0.127607259535,0.2940000428,12.0,40.0,,,,,886826.8631427258,,,,,,,20.0,20.0,,2.0,0.0,232785.5613509344,0.0
2023-04-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485974.0,,,,,,,,
