timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,dormant_circulation_10y,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_5y,dormant_circulation_7y,dormant_circulation_8y,dormant_circulation_90d,dormant_circulation_9y,dormant_circulation_usd_180d,exchange_open_interest,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_intraday,mvrv_usd_intraday_10y,mvrv_usd_intraday_180d,mvrv_usd_intraday_1d,mvrv_usd_intraday_2y,mvrv_usd_intraday_30d,mvrv_usd_intraday_365d,mvrv_usd_intraday_3y,mvrv_usd_intraday_5y,mvrv_usd_intraday_60d,mvrv_usd_intraday_7d,mvrv_usd_intraday_90d,mvrv_usd_z_score,network_profit_loss,nvt,nvt_5min,nvt_transaction_volume,percent_of_total_supply_in_profit,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,total_funding_rates_aggregated_per_asset,total_open_interest,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-01 00:00:00,3331.0,35262.0,840661.0,188763.0,86636.96892068174,86636.96892068174,19905429.726842966,17085865.230830427,5221325.293812391,60073.456030269284,9994647.804330267,1309052.5107037553,7218398.218102466,11946534.634788906,13594415.373908652,1851764.6982873152,495973.31970093196,3652806.8212847365,653369996.8902435,45600.0,0,0.0,0,0.0,14.73303136,1083.394113430002,175.70840006,809.117773310001,111.58226747,88.42581916,25.71703109,25.21794837,1846.783406160003,18.79061339,135570.40955895337,124994.603092,1448.19056313796,73.922423474254,249.735046043599,127.994595052263,345.239242506181,482.72060796501,50.280598838421,926.088873267439,3503.158405194246,1024.817066015799,2389.719300148427,523.322666447159,665.855946569623,3402.296564128219,0.011926888487,0.510477132055,0.438169062482,1.098429298905,1.008244365053,0.486080174108,1.019388754577,1.009762992225,0.446966049399,0.436018969869,0.997836103738,1.029378955423,1.065049743252,0.5066688606,0.434994144525,1.090582643693,1.019021977765,0.482282509885,1.011609422978,1.002064864159,0.443686922701,0.432735966435,0.989003685213,1.023473097695,1.057616480699,-0.409581284257,12875.118573498396,331.351499351281,144.057909968008,122.980413197809,54.569973897259,4924593700.244137,4924593700.244137,600321339.810068,7524747.880348189,2596777420.617165,162178159.9805424,902810344.2129676,3375534486.34902,3937588156.9620614,234369841.37998688,60849661.76970256,433143650.3402065,0.796189188957,0.796189188957,0.0,0.796189188957,-0.089779786763,-0.089779786763,-0.066480914284,-0.066480914284,-0.26667746166,-0.26667746166,-0.089779786763,0.233257906555,0.066104385936,22.0,5.0,,294924930.6044538,19905429.726842966,10862387.80607536,20796.583426500005,44113.52227692,106638.27505938974,2.417360245912,11071.0,43.0,2.0,2.0,2.694343682342,1.0,0.0,352618.4378488694,0.0
2023-04-01 04:00:00,3021.0,38422.0,841364.0,191795.0,55230.494883591746,55230.494883591746,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,124250.31441600001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503996326934,0.432696650825,1.084781324271,1.007853733143,0.479779009858,1.006352675414,0.996769673465,0.441346780369,0.430454910804,0.983706244253,1.017503023021,1.051932339619,,14793.502666393135,,188.528614171487,,,,,,,,,,,,,,,0.647456109524,0.647456109524,3.294808328152,3.942264437675,-0.132110911727,-0.132110911727,,,-0.061042526011,-0.061042526011,-0.132110911727,0.482755001133,0.459064094157,48.0,36.0,,293957575.617013,,,23869.35528083,,,,,,9.0,9.0,,3.0,0.0,810157.7732220814,0.0
2023-04-01 08:00:00,2955.0,40933.0,843235.0,194797.0,160378.48602114708,160378.48602114708,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,124218.387824,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5037779871,0.432506403411,1.084283419345,1.004973138311,0.479586038338,1.005943237546,0.996341166242,0.44106516442,0.430270913817,0.983343218162,1.01680612739,1.051446410816,,6215.567765232683,,195.012312426506,,,,,,,,,,,,,,,-0.185376286507,-0.185376286507,1.646491408348,1.461115121841,-0.001398940816,-0.001398940816,,,-0.084551121071,-0.084551121071,-0.001398940816,0.40638792273,0.20248138962,43.0,17.0,,294108776.2059353,,,32620.565276430003,,,,,,3.0,3.0,,6.0,0.0,1261698.8693891899,0.0
2023-04-01 12:00:00,0.0,41607.0,843500.0,196014.0,91708.46488906955,91708.46488906955,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,123519.99362400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.500470601555,0.429661645372,1.077172577338,0.997575338871,0.476457081651,0.99946482973,0.989860134037,0.438171649311,0.42744954852,0.976939448857,1.010265700506,1.044532804443,,-21077.009972326116,,214.648379206209,,,,,,,,,,,,,,,-1.13378572464,-1.13378572464,4.043418586254,2.909632861614,-0.053424080883,-0.053424080883,,,-0.239506998831,-0.239506998831,-0.053424080883,0.325269169208,0.304915826999,45.0,33.0,,292994320.46744007,,,12815.118853830001,,,,,,12.0,12.0,,0.0,0.0,0.0,0.0
2023-04-01 16:00:00,1478.0,47100.0,848325.0,204535.0,675735.2259906769,675735.2259906768,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,125254.00665200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.507757506057,0.435841308874,1.092604183818,1.005432580646,0.483485986745,1.013943706824,1.004371213504,0.444583237488,0.433693493683,0.991727814322,1.024021150583,1.059432368028,,-725482.3860784795,,318.933305735082,,,,,,,,,,,,,,,1.266774356365,1.266774356365,2.44481575489,3.711590111256,-0.015893197004,-0.015893197004,,,-0.53311672784,-0.53311672784,-0.015893197004,0.310806205862,0.282004532635,37.0,26.0,,294726376.10249794,,,51424.99866922997,,,,,,7.0,7.0,,5.0,0.0,1037073.8826585736,0.0
2023-04-01 20:00:00,1601.0,45600.0,848600.0,204228.0,120501.78290682538,120501.78290682539,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,125780.79542000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510519712321,0.438205611338,1.098524710288,1.008331942835,0.486122395835,1.019477300368,1.009850701906,0.447002624599,0.436054962431,0.99792277743,1.029468368979,1.065142255232,,1468.164769195663,,331.351499350236,,,,,,,,,,,,,,,-0.750695466995,-0.750695466995,5.398972868919,4.648277401924,0.12240985445,0.12240985445,,,-0.071131656447,-0.071131656447,0.12240985445,0.412461121873,0.568363431425,45.0,43.0,,295246558.1718714,,,20331.915224760007,,,,,,10.0,10.0,,1.0,0.0,111858.3755096057,0.0
2023-04-02 00:00:00,2456.0,44234.0,848518.0,204996.0,5132742.301764814,5132742.301764815,19906373.476841446,17084086.680648837,5238993.518449581,62776.05085032918,9987608.744997552,1317380.8991329453,7219196.790948416,11942930.305725517,13594523.882992292,1857939.667032645,503901.38576427195,3667437.2107703965,651384906.8860677,33590.0,0,0.0,0,0.0,3.49492084,21016.438631840065,729.944167160001,831.754442930001,211.13992304,58.69581193,5.40990862,5.16103746,21828.662506570032,5.14791918,2613057.4265969372,125499.442328,1448.809007414122,74.472541068102,249.725104659898,128.177849702002,345.412610839721,483.147610170909,50.83285146876,926.888291035626,3491.217262662996,1026.030365145776,2389.987787248363,523.885727814595,666.451961988092,3387.533466252882,0.01095270412,0.497348132366,0.426835084436,1.0698309031,0.991774692861,0.474092766752,0.993400283636,0.98389317591,0.435445525656,0.424846165159,0.972940471791,1.003399454889,1.036989234951,0.508544356984,0.436494025691,1.093906205529,1.003143173212,0.48426434375,1.015293254779,1.005845292283,0.445270385277,0.434367534639,0.994163738345,1.02450619361,1.060650485704,-0.41212475189,123439.22050631513,317.101397861141,256.013703798539,144.813984246887,54.026493905621,4924518923.3113365,4924518923.3113365,602510856.2105284,7787770.117543198,2591972239.092332,163162081.38051713,902761618.2086456,3374498346.768356,3936991287.499375,234951104.999559,61787958.48951092,435131569.6229142,0.724385797977,0.724385797977,2.465590178967,3.189975976944,-0.0676482019,-0.0676482019,0.022914304361,0.022914304361,-0.050747837488,-0.050747837488,-0.0676482019,0.330078896764,0.341303272644,35.0,25.0,,295092611.93861157,19906373.476841446,10754715.653295882,39843.42877390997,77951.35887328969,52589.761495900086,0.67464842507,10694.0,25.0,1.0,1.0,2.189715306227,2.0,1.0,2689976.4318984887,2300312.06515098
2023-04-02 04:00:00,1309.0,41625.0,849080.0,206600.0,120065.42285209826,120065.42285209824,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,125036.50674400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.507123143837,0.435271454358,1.090831952065,1.000080581331,0.482920522211,1.012451466767,1.003065571858,0.444026717929,0.433156660853,0.991431226727,1.021567261825,1.057473835941,,-20123.920211990746,,268.01861009633,,,,,,,,,,,,,,,3.521743535995,3.521743535995,1.752087235451,5.273830771446,0.309314204905,0.309314204905,,,0.67416023479,0.67416023479,0.309314204905,0.368543341501,0.415281857335,41.0,34.0,,294698011.22215,,,13464.985742769994,,,,,,6.0,6.0,,1.0,0.0,199791.4497816314,0.0
2023-04-02 08:00:00,1842.0,39184.0,848814.0,207750.0,235568.14492452686,235568.14492452683,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,124832.97472000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506304412862,0.434568245032,1.08906159346,0.99777972346,0.482231245265,1.010819794863,1.001457153761,0.443313222153,0.432462225648,0.98992670703,1.019946374756,1.055725734873,,-66398.34779722281,,291.186790926615,,,,,,,,,,,,,,,-0.751233398914,-0.751233398914,0.751233398914,0.0,-0.204125009955,-0.204125009955,,,-0.105856440398,-0.105856440398,-0.204125009955,0.406751956543,0.306741158876,49.0,29.0,,294821272.08413,,,11809.972643659996,,,,,,3.0,3.0,,2.0,0.0,286279.3438545016,0.0
2023-04-02 12:00:00,3738.0,39714.0,848879.0,208725.0,244285.6839503686,244285.6839503686,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,122328.73266000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496083440039,0.425774797135,1.067086698381,0.981525880623,0.472836799561,0.990591004461,0.981333231661,0.434333312641,0.423739514946,0.970079384415,1.000227532559,1.034347393571,,-119139.76642172688,,283.570568451331,,,,,,,,,,,,,,,1.475679397583,1.475679397583,0.741086781025,2.216766178608,0.078974067097,0.078974067097,,,0.178852683036,0.178852683036,0.078974067097,0.210106752167,0.162054525306,31.0,20.0,,289363021.23457,,,22979.823492120002,,,,,,4.0,4.0,,1.0,0.0,382240.3108796515,0.0
