timestamp,active_addresses_1h,active_addresses_24h,active_addresses_30d,active_addresses_7d,age_consumed,age_destroyed,circulation,circulation_10y,circulation_180d,circulation_1d,circulation_2y,circulation_30d,circulation_365d,circulation_3y,circulation_5y,circulation_60d,circulation_7d,circulation_90d,circulation_usd_180d,daily_active_addresses,dev_activity_1d,dev_activity_contributors_count_7d,dormant_circulation_180d,dormant_circulation_2y,dormant_circulation_365d,dormant_circulation_3y,dormant_circulation_5y,dormant_circulation_90d,dormant_circulation_usd_180d,mean_age,mean_age_180d,mean_age_2y,mean_age_365d,mean_age_3y,mean_age_5y,mean_age_90d,mean_dollar_invested_age,mean_dollar_invested_age_180d,mean_dollar_invested_age_2y,mean_dollar_invested_age_365d,mean_dollar_invested_age_3y,mean_dollar_invested_age_5y,mean_dollar_invested_age_90d,mvrv_long_short_diff_usd,mvrv_usd,mvrv_usd_10y,mvrv_usd_180d,mvrv_usd_1d,mvrv_usd_2y,mvrv_usd_30d,mvrv_usd_365d,mvrv_usd_3y,mvrv_usd_5y,mvrv_usd_60d,mvrv_usd_7d,mvrv_usd_90d,mvrv_usd_z_score,network_growth,network_profit_loss,nvt,nvt_transaction_volume,percent_of_total_supply_in_profit,realized_value_usd,realized_value_usd_10y,realized_value_usd_180d,realized_value_usd_1d,realized_value_usd_2y,realized_value_usd_30d,realized_value_usd_365d,realized_value_usd_3y,realized_value_usd_5y,realized_value_usd_60d,realized_value_usd_7d,realized_value_usd_90d,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,total_supply,total_supply_in_profit,transaction_volume,transaction_volume_in_loss,transaction_volume_in_profit,transaction_volume_profit_loss_ratio,transactions_count,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m,velocity,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,whale_transaction_volume_100k_usd_to_inf,whale_transaction_volume_1m_usd_to_inf
2023-04-02 08:00:00,31.0,378.0,3339.0,2520.0,3159663.8822014886,3159663.882201489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1590.030631251178,,,,,,,,,,,,,,,,1.546017587185,1.546017587185,0.0,1.546017587185,0.032957796823,0.032957796823,,,-0.018185466208,-0.018185466208,0.032957796823,0.306587283126,0.071471522298,36.0,6.0,,,160489.9031611869,,,,,,,4.0,4.0,,0.0,0.0,0.0,0.0
2023-04-02 12:00:00,45.0,409.0,3382.0,2565.0,16424205.901074404,16424205.901074404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21389.745159188766,,,,,,,,,,,,,,,,0.562139868736,0.562139868736,1.710642874241,2.272782742977,-0.044195641418,-0.044195641418,,,-0.159271451248,-0.159271451248,-0.044195641418,0.292651864249,0.098084492969,42.0,11.0,,,241956.96536088936,,,,,43147.0,,4.0,4.0,,0.0,0.0,0.0,0.0
2023-04-02 16:00:00,31.0,466.0,3434.0,2611.0,8302333.7698457325,8302333.769845733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18994.900041063895,,,,,,,,,,,,,,,,0.687286913395,0.687286913395,1.557283043861,2.244569957256,-0.049230479902,-0.049230479902,,,-0.200892798454,-0.200892798454,-0.049230479902,0.554257646048,0.102445655144,81.0,11.0,,,268566.1485488036,,,,,,,4.0,4.0,,0.0,0.0,0.0,0.0
2023-04-02 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43242.0,,,,,,,,
2023-04-02 20:00:00,32.0,452.0,3458.0,2637.0,6994540.206217793,6994540.206217791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3037.908695595837,,,,,,,,,,,,,,,,0.844645917416,0.844645917416,0.0,0.844645917416,-0.050681264973,-0.050681264973,,,-0.183096634766,-0.183096634766,-0.050681264973,0.277516450941,0.071548301359,35.0,6.0,,,305267.5043795365,,,,,,,2.0,2.0,,0.0,0.0,0.0,0.0
2023-04-03 00:00:00,26.0,437.0,3475.0,2656.0,6227883.423795123,6227883.423795123,289714926.0,289714926.0,59678839.37119898,2720983.313443646,204729136.08635244,28418872.48822077,106026779.81551045,289714926.0,289714926.0,37582539.188656,24248033.573684894,38491021.3770199,46858279.198106,1028.0,0.0,0.0,283084.4142823101,8466.900657349552,198244.2938486221,0.0,0.0,1392716.4615480746,222270.55118425126,504.369342940456,62.753819268288,356.597409260787,165.831694853037,504.369342940456,504.369342940456,18.647679901678,620.95436308892,54.763280791558,534.195053202042,210.838644583393,620.455576549048,620.455576549048,15.465422105546,-0.549445879314,0.556100000712,0.556100000712,2.676228316733,1.163180977027,0.546123490692,2.393456194824,1.909393473253,0.556100000712,0.556100000712,2.458839352567,2.298046856375,2.478666730487,-0.267235726695,339.0,188888.12275905663,106.474348654987,38.627830709301,32.444941011193,471774520.05277556,471774520.05277556,20193598.330839053,2118337.2058819355,339473050.5210061,10752213.18668518,50284790.42219738,471774520.05277556,471774520.05277556,13841159.409176365,9555076.133054841,14062346.81349243,2.198947548866,2.198947548866,0.0,2.198947548866,0.13337174993,0.13337174993,5.052352525716,5.052352525716,0.128106498368,0.128106498368,0.13337174993,0.139492110786,0.083569412614,14.0,5.0,289714926.0,93997836.84132099,1847179.0743793647,2496328.5950044123,3786403.1921701976,1.516788775223,6337.0,,54.0,2.0,2.0,2.756415431565,0.0,0.0,0.0,0.0
2023-04-03 04:00:00,68.0,427.0,3497.0,2666.0,1681922.8846616796,1681922.8846616799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66560.65902952489,,,,,,,,,,,,,,,,1.639193534851,1.639193534851,0.0,1.639193534851,0.072029137559,0.072029137559,,,0.97761131136,0.97761131136,0.072029137559,0.321606643876,0.176768488264,31.0,11.0,,,760713.0752054933,,,,,,,10.0,10.0,,0.0,0.0,0.0,0.0
2023-04-03 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43300.0,,,,,,,,
2023-04-03 08:00:00,97.0,571.0,3616.0,2786.0,44066004.73760721,44066004.73760721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20500.15090607806,,,,,,,,,,,,,,,,1.409747242928,1.409747242928,3.1412525177,4.550999760628,-0.01198232427,-0.01198232427,,,1.123378440806,1.123378440806,-0.01198232427,0.57521808487,0.231120051513,75.0,22.0,,,741228.9694956667,,,,,,,18.0,18.0,,0.0,0.0,0.0,0.0
2023-04-03 12:00:00,103.0,809.0,3818.0,2990.0,50249844.45450765,50249844.45450765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79176.56151575744,,,,,,,,,,,,,,,,2.854063332081,2.854063332081,3.401344239712,6.255407571793,-0.068644405787,-0.068644405787,,,0.911445864056,0.911445864056,-0.068644405787,0.419230501652,0.251600400417,68.0,27.0,,,940763.8264426079,,,,,43706.0,,12.0,12.0,,0.0,0.0,0.0,0.0
