timestamp,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,exchange_open_interest,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,total_funding_rates_aggregated_per_asset,total_open_interest,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m
2023-04-01 00:00:00,7.0,69.0,4.0,112.0,49376163.24005948,-5.743909537792,-5.743909537792,7.24729514122,1.503385603428,-0.19063055701,-0.19063055701,-0.677607913823,-0.677607913823,-0.77116106888,-0.77116106888,-0.19063055701,0.097608839593,0.480851579272,9.0,33.0,,90591462.45886,504763.0,67.0,14.0,14.0
2023-04-01 04:00:00,5.0,,4.0,,48846404.00318748,-0.899817466736,-0.899817466736,0.899817466736,0.0,0.073391938335,0.073391938335,,,0.21644377023,0.21644377023,0.073391938335,0.166295637326,0.214090074591,17.0,16.0,,89946559.48759998,,,9.0,9.0
2023-04-01 08:00:00,2.0,,2.0,,49211207.99437569,-1.149249434471,-1.149249434471,2.647163689137,1.497914254665,0.029950826503,0.029950826503,,,0.182509674812,0.182509674812,0.029950826503,0.205691274188,0.185935854006,24.0,17.0,,90383547.3826188,,,4.0,4.0
2023-04-01 12:00:00,19.0,,7.0,,49524735.931901604,-3.423127174377,-3.423127174377,5.757784485817,2.33465731144,-0.110661604207,-0.110661604207,,,-0.097110667882,-0.097110667882,-0.110661604207,0.142300346686,0.266466922655,20.0,31.0,,90070112.80542001,504835.0,,11.0,11.0
2023-04-01 16:00:00,12.0,,5.0,,50713419.96064116,1.602631628513,1.602631628513,0.0,1.602631628513,0.125994327029,0.125994327029,,,0.705466957262,0.705466957262,0.125994327029,0.120045085368,0.213574239065,14.0,19.0,,94025086.6227572,,,14.0,15.0
2023-04-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,,504885.0,,,
2023-04-01 20:00:00,24.0,,11.0,,49439144.880944,0.838976740837,0.838976740837,6.546513199806,7.385489940643,-0.091080361534,-0.091080361534,,,-0.070448400941,-0.070448400941,-0.091080361534,0.190455445353,0.641746419003,21.0,47.0,,92405454.90172,,,18.0,18.0
2023-04-02 00:00:00,15.0,170.0,5.0,113.0,49627143.05241831,-4.083399653435,-4.083399653435,7.990283966064,3.90688431263,-0.005674903465,-0.005674903465,-1.302816382518,-1.302816382518,-0.283209501577,-0.283209501577,-0.005674903465,0.295784839961,0.428081145878,28.0,30.0,,91885962.29457152,504889.0,64.0,9.0,9.0
2023-04-02 04:00:00,14.0,,2.0,,50168040.45062572,-5.012113273144,-5.012113273144,5.720329642296,0.708216369152,-0.072848086594,-0.072848086594,,,-0.465073754974,-0.465073754974,-0.072848086594,0.498226524864,0.528857903009,52.0,36.0,,92832068.29638998,,,12.0,12.0
2023-04-02 06:00:00,,,,,,,,,,,,,,,,,,,,,,,504954.0,,,
2023-04-02 08:00:00,34.0,,5.0,,51535304.10536102,-0.827256083488,-0.827256083488,2.365993320942,1.538737237453,0.0934241232,0.0934241232,,,0.075755725774,0.075755725774,0.0934241232,0.348274036698,0.378019912417,43.0,31.0,,95231376.56322339,,,17.0,17.0
2023-04-02 12:00:00,28.0,,7.0,,49770316.05171966,-1.278634428978,-1.278634428978,5.013827800751,3.735193371773,0.103784153669,0.103784153669,,,0.078898217789,0.078898217789,0.103784153669,0.203437077723,0.307582721824,29.0,38.0,,89335396.05614,,,8.0,8.0
2023-04-02 16:00:00,78.0,,9.0,,49266438.084283724,-0.084219753742,-0.084219753742,3.210108458996,3.125888705254,-0.088423126605,-0.088423126605,,,-0.442168973232,-0.442168973232,-0.088423126605,0.326895473343,0.374049812761,44.0,39.0,,87965633.67080641,,,13.0,13.0
2023-04-02 18:00:00,,,,,,,,,,,,,,,,,,,,,,,505027.0,,,
2023-04-02 20:00:00,1.0,,1.0,,49703159.001647115,-3.560532569885,-3.560532569885,5.783586323261,2.223053753376,-0.067011284989,-0.067011284989,,,-0.649458400395,-0.649458400395,-0.067011284989,0.237890742639,0.483650400174,25.0,39.0,,88570110.95164,,,13.0,13.0
2023-04-03 00:00:00,6.0,477.0,2.0,118.0,48316271.95258226,0.838269948959,0.838269948959,0.770497977734,1.608767926693,0.10902752052,0.10902752052,0.390435194993,0.390435194993,0.484772582932,0.484772582932,0.10902752052,0.174069254236,0.406858938688,15.0,24.0,,85182395.3585172,505087.0,34.0,5.0,5.0
2023-04-03 04:00:00,53.0,,10.0,,49163236.6141004,-0.959448754787,-0.959448754787,0.959448754787,0.0,0.0,0.0,,,0.316988379947,0.316988379947,0.0,0.1470480616,0.176192243482,13.0,11.0,,86518622.45012,,,2.0,2.0
2023-04-03 08:00:00,126.0,,20.0,,47809455.48846926,-0.765472352505,-0.765472352505,2.480157375336,1.714685022831,-0.003867483493,-0.003867483493,,,0.301768783701,0.301768783701,-0.003867483493,0.098385566053,0.196735820315,13.0,18.0,,85562935.77678,,,9.0,9.0
2023-04-03 12:00:00,138.0,,24.0,,47075565.98992749,-0.752475500107,-0.752475500107,2.362810909748,1.610335409641,-0.088788532161,-0.088788532161,,,0.220498030475,0.220498030475,-0.088788532161,0.09079209572,0.205506221728,14.0,21.0,,84626822.3841,505140.0,,4.0,4.0
2023-04-03 16:00:00,115.0,,23.0,,47655720.575766295,0.979502499104,0.979502499104,1.468797266483,2.448299765587,0.083644673808,0.083644673808,,,0.388580420556,0.388580420556,0.083644673808,0.208407657769,0.247778140413,15.0,23.0,,85842062.1142,,,11.0,11.0
2023-04-03 18:00:00,,,,,,,,,,,,,,,,,,,,,,,505180.0,,,
2023-04-03 20:00:00,39.0,,16.0,,46558220.91728796,-0.069993853569,-0.069993853569,0.833243131638,0.763249278069,-0.075915448937,-0.075915448937,,,0.151066895822,0.151066895822,-0.075915448937,0.052686143834,0.120317510437,10.0,12.0,,84531403.17833999,,,4.0,4.0
2023-04-04 00:00:00,14.0,430.0,6.0,118.0,46179764.66696304,-2.932300567627,-2.932300567627,3.766924679279,0.834624111652,-0.103267949197,-0.103267949197,-0.965079530409,-0.965079530409,0.155027898042,0.155027898042,-0.103267949197,0.109490223446,0.158837732079,16.0,13.0,,83892657.6477205,,39.0,3.0,3.0
