timestamp,dev_activity,dev_activity_1d,dev_activity_contributors_count,dev_activity_contributors_count_7d,exchange_open_interest,sentiment_balance_total,sentiment_balance_total_v2,sentiment_negative_total,sentiment_positive_total,sentiment_volume_consumed_total,sentiment_weighted_total,sentiment_weighted_total_1d,sentiment_weighted_total_1d_v2,sentiment_weighted_total_1h,sentiment_weighted_total_1h_v2,sentiment_weighted_total_v2,social_dominance_ai_total,social_dominance_total,social_volume_ai_total,social_volume_total,total_funding_rates_aggregated_per_asset,total_open_interest,twitter_followers,unique_social_volume_total_1d,unique_social_volume_total_1h,unique_social_volume_total_5m
2023-04-01 00:00:00,21.0,23.0,3.0,19.0,12089968.37291158,0.0,0.0,0.0,0.0,0.0,0.0,-0.215003437051,-0.215003437051,-0.187576694837,-0.187576694837,0.0,0.055432270358,0.024733436671,5.0,2.0,,21515847.945511702,,2.0,0.0,0.0
2023-04-01 04:00:00,1.0,,1.0,,11704410.02174024,1.479954063892,1.479954063892,0.0,1.479954063892,0.224025863516,0.224025863516,,,0.844865089016,0.844865089016,0.224025863516,0.124161060368,0.040657674059,13.0,3.0,,21023762.920757398,,,2.0,2.0
2023-04-01 06:00:00,,,,,,,,,,,,,,,,,,,,,,,87175.0,,,
2023-04-01 08:00:00,0.0,,0.0,,11606299.94757632,0.758686721325,0.758686721325,0.0,0.758686721325,-0.178039984639,-0.178039984639,,,-0.112702665577,-0.112702665577,-0.178039984639,0.065794225972,0.049231150794,9.0,4.0,,21008014.46976303,,,0.0,0.0
2023-04-01 12:00:00,0.0,,0.0,,11615687.424279321,-0.776333451271,-0.776333451271,0.776333451271,0.0,-0.016004609992,-0.016004609992,,,-0.078234869097,-0.078234869097,-0.016004609992,0.03622696499,0.008790436006,4.0,1.0,,20889737.8778991,87175.0,,0.0,0.0
2023-04-01 16:00:00,0.0,,0.0,,11813729.098998342,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.078234869097,-0.078234869097,0.0,0.076549099087,0.009342301943,9.0,1.0,,21385010.39286413,,,0.0,0.0
2023-04-01 20:00:00,1.0,,1.0,,11705873.14107558,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.057991717718,-0.057991717718,0.0,0.083240899393,0.027070832471,9.0,2.0,,21451826.667544678,,,0.0,0.0
2023-04-02 00:00:00,1.0,5.0,1.0,19.0,11448159.320998002,0.731213450432,0.731213450432,0.0,0.731213450432,0.130704314931,0.130704314931,0.437850065555,0.437850065555,0.561903532269,0.561903532269,0.130704314931,0.043499732877,0.011261261261,4.0,1.0,,20948648.510314718,87163.0,5.0,1.0,1.0
2023-04-02 04:00:00,2.0,,2.0,,11727901.07478508,0.720914840698,0.720914840698,0.0,0.720914840698,-0.128036879933,-0.128036879933,,,-0.075868632799,-0.075868632799,-0.128036879933,0.055629425511,0.010964912281,5.0,1.0,,21346905.75828405,,,0.0,0.0
2023-04-02 08:00:00,0.0,,0.0,,11831286.765970841,0.0,0.0,0.0,0.0,-0.002667434999,-0.002667434999,,,-0.168946532733,-0.168946532733,-0.002667434999,0.111043674308,0.006530825496,12.0,1.0,,21432942.691614643,,,1.0,1.0
2023-04-02 12:00:00,0.0,,0.0,,11103294.617836962,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.174409475798,-0.174409475798,0.0,0.088606258229,0.00730994152,13.0,1.0,,20461271.619777277,87158.0,,1.0,1.0
2023-04-02 16:00:00,0.0,,0.0,,11049183.04369976,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.176217670835,-0.176217670835,0.0,0.075388144327,0.018564941124,11.0,2.0,,19614991.93642298,,,1.0,1.0
2023-04-02 18:00:00,,,,,,,,,,,,,,,,,,,,,,,87157.0,,,
2023-04-02 20:00:00,2.0,,2.0,,10892919.608458579,1.526005446911,1.526005446911,0.0,1.526005446911,0.098695094948,0.098695094948,,,0.792748972381,0.792748972381,0.098695094948,0.061048704578,0.024082961085,6.0,2.0,,19302348.323435627,,,1.0,1.0
2023-04-03 00:00:00,0.0,48.0,0.0,20.0,10334880.42932266,0.0,0.0,0.0,0.0,-0.098695094948,-0.098695094948,-0.886874219218,-0.886874219218,-0.262653969418,-0.262653969418,-0.098695094948,0.094616780786,0.0,10.0,0.0,,18593416.947390646,,9.0,0.0,0.0
2023-04-03 04:00:00,3.0,,1.0,,10508655.08257716,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.262653969418,-0.262653969418,0.0,0.073850842903,0.017217630854,7.0,1.0,,18744493.794910938,,,0.0,0.0
2023-04-03 06:00:00,,,,,,,,,,,,,,,,,,,,,,,87146.0,,,
2023-04-03 08:00:00,7.0,,3.0,,10631913.65428602,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.262653969418,-0.262653969418,0.0,0.057995350907,0.005723443223,8.0,1.0,,18828247.2990162,,,0.0,0.0
2023-04-03 12:00:00,12.0,,3.0,,10924131.52858746,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.262653969418,-0.262653969418,0.0,0.013477366255,0.022160970009,2.0,3.0,,19087007.791392673,87136.0,,2.0,2.0
2023-04-03 16:00:00,12.0,,5.0,,11000089.4427385,-0.074125468731,-0.074125468731,0.818191170692,0.744065701962,-0.008613300024,-0.008613300024,,,-0.480493181713,-0.480493181713,-0.008613300024,0.053505979617,0.049606570437,10.0,7.0,,19164568.74559159,,,4.0,4.0
2023-04-03 20:00:00,14.0,,2.0,,10737711.30011504,-0.940768539906,-0.940768539906,1.73526853323,0.794499993324,-0.025563065199,-0.025563065199,,,-0.093543885769,-0.093543885769,-0.025563065199,0.027788767536,0.077333067504,6.0,9.0,,18438825.278762843,,,3.0,3.0
2023-04-04 00:00:00,16.0,80.0,5.0,20.0,10619155.31217258,0.04558891058,0.04558891058,0.818191170692,0.863780081272,0.093607350171,0.093607350171,3.826429650108,3.826429650108,-0.134443346685,-0.134443346685,0.093607350171,0.067633722774,0.075773870051,8.0,6.0,,18626444.914654665,87127.0,12.0,5.0,5.0
2023-04-04 04:00:00,10.0,,1.0,,10702817.0728552,0.702233433723,0.702233433723,0.0,0.702233433723,-0.060905337965,-0.060905337965,,,0.313566006463,0.313566006463,-0.060905337965,0.046965792366,0.067388159998,7.0,5.0,,18785217.507248014,,,3.0,3.0
2023-04-04 06:00:00,,,,,,,,,,,,,,,,,,,,,,,87127.0,,,
2023-04-04 08:00:00,3.0,,2.0,,11169638.297879422,0.74822562933,0.74822562933,0.0,0.74822562933,-0.053348699972,-0.053348699972,,,-0.07726815464,-0.07726815464,-0.053348699972,0.065120308512,0.07797236471,8.0,4.0,,19286516.02680609,,,0.0,0.0
2023-04-04 12:00:00,20.0,,6.0,,11452166.46822634,1.82795637846,1.82795637846,0.0,1.82795637846,0.0,0.0,,,-0.07726815464,-0.07726815464,0.0,0.064914969483,0.022325272886,12.0,3.0,,19352076.78272942,,,1.0,1.0
